ccaa,prov,prov2,id_prov,id_color,id_iframe_casas,id_iframe_piscinas,id_iframe_restricciones,id_iframe_reformar,id_iframe_2515,id_iframe_2508,id_iframe_cincoanos,casas_tasac_2025,casas_tasac_2010,casas_tasac_1995,valor_tasac_2025,valor_tasac_1995,mascinco_2025,casas_noviembre_2025,valor_noviembre_2025,casas_noviembre_2015,valor_noviembre_2015,casas_noviembre_2008,valor_noviembre_2008,media_2025,casas_muestra,valor_muestra,casas_piscina,valor_piscina,casas_restriccion,valor_restriccion,casas_reformar,valor_reformar
Castilla-La Mancha,Albacete,Albacete,albacete,#2F70B3,1A2Ll,b8SQR,x95Dq,eDpw5,KM84I,toI1l,hiWoR,"3,01423491","2,448280083","4,107620458","1088,17","438,95","3,03","2,767932489",118500,"2,995327103",107000,"2,311248074",129800,"2,936436885","2,936436885",111700,"2,220717671",147700,"3,244312562",101100,"5,503355705",59600
Comunitat Valenciana,Alicante,Alicante/Alacant,alicantealacant,#EB993D,B3af7,56t8m,RYXzU,QUS0Y,Gb4cj,usfs0,3mXM3,"1,84868929","2,082971706","3,788854333","1774,23","475,88","1,86","1,228464419",267000,"2,437262357",131500,"1,773049645",169200,"1,171010353","1,171010353",280100,"1,007680492",325500,"2,592885375",126500,"1,919251024",170900
Andalucía,Almería,Almería,almeria,#56B070,o2ekw,u71WD,QiGJj,lUBxX,s6AqN,QX4pB,81EvI,"2,47149865","2,043735949","4,156385431","1327,13","433,80","2,49","2,192513369",149600,"2,998129093",106900,"1,721170396",174300,"2,05","2,05",160000,"1,405312768",233400,"3,673012318",89300,"3,890865955",84300
País Vasco,Álava,Araba/Álava,arabaalava,#EB993D,MHeP6,LqvVb,c6svU,bcKm6,LG6LG,N4DXx,pPGmS,"1,41788787","1,327856662","2,094609665","2313,30","860,80","1,43","1,324182479",247700,"1,732432432",185000,"1,25",240000,"1,362692148","1,362692148",240700,"1,619753086",202500,"1,626984127",201600,"2,35971223",139000
"Asturias, Principado de",Asturias,Asturias,asturias,#56B070,6OcHi,1qjoW,BLcd1,xx8L5,PuqYa,ps2hC,SCK8t,"2,07822489","1,834997064","2,802667371","1578,27","643,33","2,09","1,930547381",169900,"2,299139168",139400,"1,640240569",182900,"1,905868681","1,905868681",172100,"1,329550061",246700,"2,024691358",162000,"3,770114943",87000
Castilla y León,Ávila,Ávila,avila,#2F70B3,F4xSi,P1tG1,JOIqW,AIsJB,pzfxp,zDCiV,KF2FC,"3,19915730","2,42787197","3,037057","1025,27","593,68","3,20","3,206256109",102300,"3,525852585",90900,"2,52312868",118900,"3,481953291","3,481953291",94200,"2,163588391",151600,"3,187560739",102900,"6,520874751",50300
Extremadura,Badajoz,Badajoz,badajoz,#2F70B3,O2sbs,BBdwQ,Y9UgF,rV85I,qiAW2,HK7R7,dnRtX,"3,46539884","2,949562482","4,638283642","946,50","388,73","3,49","3,266932271",100400,"3,420490928",93700,"2,588438309",115900,"3,391933816","3,391933816",96700,"2,298528381",142700,"3,783160323",86700,"6,108007449",53700
"Balears, Illes",Baleares,"Balears, Illes",balearsilles,#8F583A,ZqTdH,SLTTn,m7E3k,phHtu,O0jxV,pLTYz,KIpYY,"0,92597821","1,433109609","3,04516129","3542,20","592,10","0,93","0,6413766132",511400,"1,62525355",197200,"1,267427123",236700,"0,5410755526","0,5410755526",606200,"0,4601571268",712800,"0,8845738943",370800,"0,8204102051",399800
Cataluña,Barcelona,Barcelona,barcelona,#EB993D,YuDTt,EKmAE,SJkcY,a2P1E,hw8yN,V7fvb,44QQ3,"1,12241511","1,194800229","2,052337427","2922,27","878,53","1,13","1,063553826",308400,"1,571078431",204000,"1,159644376",258700,"0,9852808651","0,9852808651",332900,"0,8647508568",379300,"1,64082041",199900,"1,196207148",274200
País Vasco,Bizkaia,Bizkaia,bizkaia,#EB993D,wOn1x,XLXEX,WdKrZ,gSvgZ,EOAhS,jaRDG,10JEO,"1,20557210","1,119181654","2,002487783","2720,70","900,40","1,21","1,007990166",325400,"1,221417683",262400,"0,9293680297",322800,"0,9826243259","0,9826243259",333800,"0,8337569903",393400,"1,260568793",260200,"1,291847184",253900
Castilla y León,Burgos,Burgos,burgos,#56B070,sGwyE,jnxNx,fOQU0,fRskO,eNW8a,d7cTD,POSUG,"2,53923033","1,793025132","2,505440145","1291,73","719,65","2,55","2,596991291",126300,"2,661960133",120400,"2,021563342",148400,"3,175217812","3,175217812",103300,"1,986674743",165100,"2,877192982",114000,"7,288888889",45000
Extremadura,Cáceres,Cáceres,caceres,#2F70B3,s4c3x,RwDYA,TmkfM,5kbBJ,OMYJl,6puLE,HksZI,"3,68154625","3,107101799","4,330067243","890,93","416,40","3,70","3,141762452",104400,"3,446236559",93000,"2,650176678",113200,"3,402489627","3,402489627",96400,"2,152230971",152400,"3,849765258",85200,"7,038626609",46600
Andalucía,Cádiz,Cádiz,cadiz,#EB993D,waGpD,PqYSG,SQvye,NvazW,hVdmE,EmSti,Ax0J9,"1,83763796","1,725248436","3,58115516","1784,90","503,48","1,85","1,471511889",222900,"2,322463768",138000,"1,555209953",192900,"1,289815179","1,289815179",254300,"0,9963547995",329200,"2,466165414",133000,"1,957040573",167600
Cantabria,Cantabria,Cantabria,cantabria,#EB993D,OgGD8,FTgqi,EzgIo,YbTb2,b6vFA,NcTbb,tKBGI,"1,77055162","1,616814875","2,443706545","1852,53","737,83","1,77","1,588377724",206500,"2,105781866",152200,"1,546391753",194000,"1,653225806","1,653225806",198400,"1,150877193",285000,"2,160737813",151800,"3,557483731",92200
Comunitat Valenciana,Castellón,Castellón/Castelló,castelloncastello,#56B070,3tPsg,KstwJ,FR7dp,g8bOE,QWYFK,WNrxW,TVbdo,"2,57033148","1,980943325","3,918800261","1276,10","460,10","2,57","2,198391421",149200,"3,040796964",105400,"1,727115717",173700,"2,06159648","2,06159648",159100,"1,486854034",220600,"2,915555556",112500,"4,304461942",76200
Ceuta,Ceuta,Ceuta,ceuta,#EB993D,cTE3v,eWZYe,4R5ma,HYmJe,,,KTIjH,"1,58870854","1,64982017",0,"2064,57",,"1,59",#N/A,232100,#N/A,205600,#N/A,0,"1,318327974","1,318327974",248800,"2,415316642",135800,"1,653225806",198400,"1,622156281",202200
Castilla-La Mancha,Ciudad Real,Ciudad Real,ciudadreal,#2F70B3,gzA1t,kojJI,3TojS,eKSfm,lZhYf,FR0U4,Ystz9,"4,36361701","3,021817523","4,031572122","751,67","447,23","4,39","4,298820446",76300,"3,779481132",84800,"2,588438309",115900,"4,125786164","4,125786164",79500,"2,671009772",122800,"4,17302799",78600,"7,627906977",43000
Andalucía,Córdoba,Córdoba,cordoba,#56B070,WJ5sm,qOSPu,tzGZq,fwE0h,XgI6T,0WS1r,Zh1jV,"2,76110545","2,22461162","3,534333039","1187,93","510,15","2,79","2,554517134",128400,"2,711505922",118200,"1,808318264",165900,"2,431430689","2,431430689",134900,"2,017220172",162600,"3,333333333",98400,"4,019607843",81600
Galicia,A Coruña,"Coruña, A",corunaa,#56B070,ZVCwA,PE3Sm,gXlrZ,8dLgy,S0auy,oGhUZ,17fVw,"2,11363358","2,073570273","2,658253229","1551,83","678,28","2,12","2,087842139",157100,"2,282763533",140400,"1,880877743",159500,"2,070707071","2,070707071",158400,"1,590688652",206200,"1,852060982",177100,"3,557483731",92200
Castilla-La Mancha,Cuenca,Cuenca,cuenca,#2F70B3,IcHyP,Mfbfj,zjG6H,F0ust,rF9J4,wG7RK,VmsNk,"3,81572825","3,016955289","4,168107633","859,60","432,58","3,83","3,783160323",86700,"4,098465473",78200,"2,827521206",106100,"4,373333333","4,373333333",75000,"2,505729565",130900,"3,83625731",85500,"8,608923885",38100
País Vasco,Gipuzkoa,Gipuzkoa,gipuzkoa,#EB993D,iyHrt,bPihi,iPQpU,tcrTG,QWJTl,1hJCg,nzbGK,"1,04331341","1,076859018","1,818442205","3143,83","991,53","1,05","0,7953443259",412400,"1,110533611",288600,"0,8748906387",342900,"0,7352611522","0,7352611522",446100,"0,6471981058",506800,"1,086812459",301800,"0,8954408954",366300
Cataluña,Girona,Girona,girona,#EB993D,lTdZJ,ZHYU8,lmQvG,yy8EM,kRBrW,HMLps,4qoAN,"1,66677677","1,509471936","3,094816341","1967,87","582,60","1,68","1,24430956",263600,"1,879765396",170500,"1,29982669",230800,"1,111864407","1,111864407",295000,"0,9384835479",349500,"2,349570201",139600,"1,719979025",190700
Andalucía,Granada,Granada,granada,#56B070,StrG9,W5YKf,rJHxD,ItjIk,0VFii,M0kzd,DsIXx,"2,22694467","2,233804914","3,766140992","1472,87","478,75","2,23","1,929411765",170000,"2,801573427",114400,"1,898734177",158000,"1,693340217","1,693340217",193700,"1,466249441",223700,"2,877192982",114000,"2,712985939",120900
Castilla-La Mancha,Guadalajara,Guadalajara,guadalajara,#56B070,vzffq,t8yGJ,njdUR,O3iom,7KQZ3,tWc9W,kLLFG,"2,17545582","1,879663916","2,755256724","1507,73","654,40","2,18","2,225237449",147400,"3,250507099",98600,"2,017484869",148700,"2,385454545","2,385454545",137500,"1,952380952",168000,"2,37853517",137900,"5,403624382",60700
Andalucía,Huelva,Huelva,huelva,#56B070,g6yRo,vN4ox,OmtYM,yqEWx,85EBH,TwKos,LJUrO,"2,41029372","1,953888238","3,529628252","1360,83","510,83","2,42","2,017220172",162600,"2,668609492",120100,"1,704545455",176000,"1,921499707","1,921499707",170700,"1,399317406",234400,"3,257199603",100700,"4,014687882",81700
Aragón,Huesca,Huesca,huesca,#56B070,P7Kcs,RUxmO,Y6H7J,TipPz,7lBZi,Sd7tR,nIL80,"2,50095311","2,07017907","4,027519657","1311,50","447,68","2,51","1,939680662",169100,"2,353157122",136200,"1,621621622",185000,"2,324592488","2,324592488",141100,"1,418071768",231300,"2,941704036",111500,"5,764499121",56900
Andalucía,Jaén,Jaén,jaen,#2F70B3,qwNP4,9JgDI,CXwSq,Fkait,THFV6,rKncQ,ymzaF,"3,88427697","2,857551079","4,705219207","844,43","383,20","3,91","3,849765258",85200,"3,495092694",91700,"2,394253791",125300,"3,818393481","3,818393481",85900,"2,655870445",123500,"4,141414141",79200,"6,520874751",50300
Castilla y León,León,León,leon,#2F70B3,HWUdR,AycP6,wrx9l,iFAAk,YguCQ,lB33a,MgPFC,"3,42226349","2,614037381","3,363253124","958,43","536,10","3,44","3,03142329",108200,"3,102613746",103300,"2,433090024",123300,"3,47826087","3,47826087",94300,"2,515337423",130400,"3,565217391",92000,"6,993603412",46900
Cataluña,Lleida,Lleida,lleida,#56B070,78ndm,MhkbG,dfNO0,gm3Jd,ihCec,90gnB,EadMG,"2,77254169","2,250427581","3,667697315","1183,03","491,60","2,79","2,179401993",150500,"3,300720906",97100,"1,691093574",177400,"2,304989459","2,304989459",142300,"1,717277487",191000,"3,787528868",86600,"5,273311897",62200
Galicia,Lugo,Lugo,lugo,#2F70B3,9ethB,25Dke,5CYxu,NN6hZ,bpglV,vchD8,9mZ4H,"3,08743658","2,846704939","4,004975566","1062,37","450,20","3,11","3,011937557",108900,"2,918943534",109800,"2,386634845",125700,"3,515541265","3,515541265",93300,"1,902552204",172400,"3,42737722",95700,"6,639676113",49400
"Madrid, Comunidad de",Madrid,Madrid,madrid,#8F583A,PkoPv,qyu3H,MXb7I,CicYK,qgW6d,Hgell,fbrSZ,"0,90774991","1,186202097","1,654924277","3613,33","1.089,50","0,91","0,7303495881",449100,"1,480369515",216500,"1,130369254",265400,"0,6266717616","0,6266717616",523400,"0,7594350544",431900,"0,9468822171",346400,"0,6931530008",473200
